overall qual,overall cond,year built,year remod/add,exter qual,foundation,bsmt qual,bsmt exposure,bsmtfin type 1,bsmtfin sf 1,total bsmt sf,heating qc,central air,1st flr sf,gr liv area,garage yr blt,garage finish,garage cars,garage area,saleprice
6,5,1963,1963,0.0,2.0,0.0,-1.0,2.0,569,1328,0.0,1.0,1328,1328,1963,-1.0,2,528,143000
4,5,1959,1959,0.0,2.0,0.0,-1.0,2.0,569,950,-1.0,1.0,1225,1225,1842,-2.0,0,0,128950
5,5,1966,1966,0.0,1.0,1.0,-1.0,1.0,1059,1209,1.0,1.0,1209,1209,1966,0.0,2,504,159000
5,7,1964,1964,0.0,1.0,0.0,1.0,3.0,1014,1152,0.0,1.0,1152,1152,1964,0.0,2,484,180500
5,6,1950,1996,0.0,2.0,0.0,0.0,3.0,49,1078,1.0,1.0,1078,1078,1950,-1.0,1,240,142125
5,7,1958,2008,0.0,2.0,0.0,2.0,1.0,696,858,1.0,1.0,858,858,1842,-2.0,0,0,116500
3,2,1940,1966,0.0,2.0,0.0,-1.0,-2.0,0,728,2.0,1.0,1306,1306,1842,-2.0,0,0,76500
5,5,1954,1954,0.0,2.0,0.0,-1.0,0.0,354,1056,0.0,1.0,1063,1063,1954,0.0,1,280,128000
5,6,1954,1954,0.0,1.0,0.0,-1.0,-1.0,540,1268,1.0,1.0,1268,1268,1954,1.0,1,244,132000
6,8,1966,2008,0.0,2.0,0.0,2.0,3.0,944,1080,1.0,1.0,1128,1128,1966,-1.0,1,315,178000
7,5,2003,2009,1.0,1.0,1.0,-1.0,3.0,1188,1480,2.0,1.0,1480,1480,2003,0.0,2,620,214000
5,5,1959,1959,0.0,2.0,0.0,-1.0,1.0,856,1143,0.0,1.0,1143,1143,1959,0.0,1,308,136000
5,6,1957,1957,0.0,2.0,0.0,-1.0,0.0,922,1314,0.0,1.0,1314,1314,1957,0.0,1,294,145000
6,6,1959,1959,0.0,2.0,0.0,-1.0,-2.0,0,1194,0.0,1.0,1194,1194,1959,0.0,1,312,148000
5,5,1960,1960,0.0,2.0,0.0,-1.0,0.0,697,1268,0.0,1.0,1264,1264,1960,-1.0,2,461,167500
5,5,1959,1959,0.0,2.0,0.0,-1.0,0.0,936,1206,-1.0,1.0,1206,1206,1959,0.0,1,312,108538
4,5,1956,1956,0.0,2.0,0.0,-1.0,-2.0,0,832,0.0,1.0,832,1337,1956,-1.0,1,263,108000
5,7,1952,1952,0.0,2.0,0.0,-1.0,1.0,339,864,0.0,1.0,1064,1064,1952,-1.0,1,318,135000
5,6,1955,1955,0.0,2.0,0.0,-1.0,0.0,648,972,0.0,1.0,972,972,1955,-1.0,1,305,122500
4,7,1920,1994,0.0,3.0,0.0,-1.0,-2.0,0,576,1.0,1.0,985,985,1989,-1.0,2,676,105000
5,7,1955,2007,0.0,0.0,-3.0,-2.0,-3.0,0,0,2.0,1.0,827,827,1967,-1.0,1,392,107500
5,7,1954,2003,0.0,2.0,0.0,-1.0,2.0,320,1086,1.0,1.0,1086,1086,1989,-1.0,2,490,144900
5,7,1956,2000,0.0,2.0,0.0,-1.0,1.0,248,936,2.0,1.0,936,936,1956,1.0,1,308,129000
6,5,1980,1980,0.0,2.0,0.0,-1.0,3.0,1056,1056,1.0,1.0,1056,1056,1980,-1.0,2,576,144000
5,7,1959,2006,0.0,2.0,0.0,-1.0,2.0,72,1063,2.0,1.0,1287,1287,1997,1.0,2,576,162000
6,8,1948,2004,0.0,2.0,0.0,-1.0,2.0,481,816,0.0,1.0,816,1224,1950,-1.0,1,280,132000
5,7,1959,1994,0.0,2.0,0.0,-1.0,-1.0,340,1246,2.0,1.0,1246,1246,1959,0.0,1,305,154000
5,4,1952,1952,0.0,2.0,0.0,-1.0,0.0,507,910,-1.0,1.0,910,1385,2000,-1.0,2,720,166000
5,7,1951,2000,0.0,2.0,0.0,0.0,1.0,234,900,0.0,1.0,900,900,2005,-1.0,2,576,134800
6,6,1962,1962,0.0,2.0,0.0,-1.0,-2.0,0,1116,0.0,1.0,1116,1116,1962,-1.0,2,440,160000
5,6,1960,1960,0.0,2.0,0.0,-1.0,0.0,588,1175,2.0,1.0,1175,1175,1960,0.0,2,484,148000
6,7,1963,1984,0.0,2.0,0.0,2.0,1.0,717,1395,0.0,1.0,1395,1395,1963,0.0,2,440,192000
4,7,1910,2004,0.0,3.0,0.0,-1.0,-2.0,0,576,1.0,1.0,792,1140,1842,-2.0,0,0,96500
5,7,1920,1950,0.0,1.0,0.0,-1.0,1.0,579,936,0.0,1.0,936,936,1842,-2.0,0,0,109500
5,6,1927,1950,0.0,2.0,0.0,-1.0,-2.0,0,1008,1.0,1.0,1028,1028,1927,-1.0,2,360,115000
5,7,1957,1957,0.0,2.0,0.0,0.0,1.0,274,1347,1.0,1.0,1347,1347,1957,-1.0,2,551,143000
4,6,1945,1950,0.0,2.0,0.0,-1.0,-2.0,0,747,0.0,1.0,747,747,1945,-1.0,1,220,80000
5,7,1929,2001,0.0,3.0,0.0,-1.0,-1.0,234,926,0.0,1.0,926,1316,1974,-1.0,2,484,130000
6,7,1938,2000,0.0,1.0,1.0,-1.0,-2.0,0,827,1.0,1.0,827,1251,1938,-1.0,1,240,119000
5,6,1920,1962,0.0,3.0,0.0,-1.0,0.0,176,1008,0.0,1.0,1060,1245,1962,-1.0,1,315,100000
6,8,1928,2003,0.0,3.0,0.0,-1.0,-2.0,0,624,1.0,1.0,720,720,2005,-1.0,2,484,105900
6,7,1957,1996,0.0,2.0,0.0,-1.0,3.0,600,912,0.0,1.0,1236,1236,1957,-1.0,2,923,149700
4,7,1910,1950,0.0,2.0,-1.0,-1.0,-2.0,0,622,1.0,1.0,741,1363,1966,-1.0,2,528,125500
6,7,1922,1994,0.0,2.0,-1.0,-1.0,0.0,283,738,2.0,1.0,868,1470,1970,-1.0,2,624,140750
4,7,1925,1950,0.0,3.0,0.0,-1.0,0.0,188,765,0.0,-1.0,765,765,1926,-1.0,1,200,87000
6,6,1940,1950,0.0,2.0,0.0,-1.0,-1.0,264,572,2.0,1.0,848,1196,1973,-1.0,2,576,128000
5,6,1942,1950,0.0,2.0,0.0,-1.0,0.0,360,835,0.0,1.0,955,1453,1942,-1.0,1,240,132000
6,7,1948,1950,0.0,2.0,0.0,-1.0,0.0,300,780,0.0,1.0,780,1416,1948,-1.0,1,312,139900
5,7,1936,1980,0.0,2.0,0.0,-1.0,0.0,276,528,1.0,1.0,548,1040,1979,1.0,2,624,123900
6,5,1923,1950,0.0,3.0,-1.0,-1.0,2.0,960,1124,0.0,1.0,1068,1068,1923,-1.0,1,288,109500
6,8,1920,1993,0.0,3.0,0.0,-1.0,-2.0,0,662,2.0,1.0,662,1324,1920,-1.0,1,180,122000
5,5,1963,1963,-1.0,2.0,1.0,2.0,-1.0,104,816,0.0,-1.0,816,816,1963,-1.0,2,516,110000
4,5,1930,1950,-1.0,0.0,-3.0,-2.0,-3.0,0,0,-1.0,-1.0,372,1092,1842,-2.0,0,0,55000
5,3,1917,1950,0.0,3.0,1.0,-1.0,-2.0,0,689,1.0,-1.0,725,1224,1917,-1.0,1,180,107500
5,4,1915,1950,-1.0,3.0,0.0,-1.0,0.0,1026,1212,0.0,-1.0,1212,1392,1842,-2.0,0,0,100000
6,5,1940,1950,0.0,2.0,-1.0,-1.0,-1.0,368,600,2.0,-1.0,600,919,1940,-1.0,1,231,95000
5,8,1875,1996,0.0,2.0,0.0,-1.0,-2.0,0,780,1.0,-1.0,780,1020,1842,-2.0,0,0,94000
5,4,1965,1965,0.0,1.0,0.0,0.0,1.0,841,1039,2.0,1.0,1039,1039,1965,-1.0,2,504,131500
5,6,1957,1996,0.0,2.0,1.0,-1.0,2.0,1302,1392,0.0,1.0,1392,1392,1957,-1.0,2,528,121500
5,5,1967,1967,0.0,2.0,0.0,-1.0,2.0,842,912,0.0,1.0,912,912,1974,-1.0,1,336,125000
5,8,1968,2001,0.0,2.0,0.0,0.0,0.0,188,1060,2.0,1.0,1060,1060,1968,-1.0,1,270,154000
5,7,1966,2008,0.0,2.0,0.0,0.0,1.0,240,864,2.0,1.0,892,892,1966,-1.0,1,416,137900
6,7,1969,1969,0.0,2.0,0.0,-1.0,2.0,371,663,0.0,1.0,663,1352,1969,1.0,1,299,158000
5,5,1968,1968,0.0,2.0,0.0,-1.0,3.0,775,864,2.0,1.0,864,864,1969,-1.0,1,280,137250
5,5,1978,1978,0.0,2.0,1.0,1.0,3.0,1319,1319,0.0,1.0,1373,1373,1978,1.0,2,591,160250
5,5,1968,1968,0.0,2.0,0.0,-1.0,0.0,267,720,2.0,1.0,720,1440,1968,-1.0,2,480,163000
7,7,1977,2001,1.0,2.0,1.0,2.0,2.0,1092,1420,1.0,1.0,1483,1483,1977,0.0,2,690,270000
4,4,1927,1950,0.0,3.0,-1.0,-1.0,-2.0,0,660,0.0,-1.0,756,756,1945,-1.0,2,440,85000
4,7,1950,1995,0.0,2.0,1.0,-1.0,1.0,442,1067,0.0,1.0,1067,1067,1996,-1.0,2,436,128000
6,7,1950,1987,0.0,2.0,0.0,-1.0,3.0,104,663,2.0,1.0,1074,1074,1987,-1.0,1,467,144500
5,6,1956,1956,0.0,2.0,0.0,1.0,1.0,739,1144,0.0,1.0,1144,1144,1956,-1.0,1,596,129000
5,7,1954,1998,0.0,2.0,0.0,1.0,1.0,954,1172,0.0,1.0,1172,1172,1954,1.0,1,366,128000
6,5,2009,2009,0.0,1.0,1.0,0.0,3.0,36,1212,2.0,1.0,1212,1212,2009,0.0,2,460,186000
5,3,1964,1964,0.0,2.0,0.0,0.0,-2.0,0,1250,2.0,1.0,1298,1298,1964,-1.0,2,504,114000
7,5,1987,1987,1.0,2.0,1.0,2.0,3.0,1433,1433,2.0,1.0,1433,1433,1987,0.0,2,528,270000
6,6,1992,1992,0.0,1.0,1.0,1.0,3.0,747,936,2.0,1.0,996,996,1992,-1.0,2,564,147000
7,5,2006,2006,1.0,1.0,1.0,1.0,3.0,686,1187,2.0,1.0,1208,1208,2006,0.0,2,632,206000
7,5,2009,2009,0.0,1.0,1.0,-1.0,-2.0,0,1226,2.0,1.0,1226,1226,2009,0.0,3,740,198900
7,5,2010,2010,1.0,1.0,1.0,-1.0,3.0,24,1222,2.0,1.0,1222,1222,2009,0.0,2,615,187000
6,8,1900,1993,0.0,1.0,-1.0,-1.0,-2.0,0,676,0.0,1.0,831,1445,1957,-1.0,2,484,138500
6,7,1971,1971,0.0,2.0,0.0,1.0,3.0,504,1010,1.0,1.0,1052,1052,1971,-1.0,2,440,155000
5,5,1996,1996,0.0,1.0,1.0,1.0,3.0,870,870,1.0,1.0,965,965,1998,-1.0,2,580,159000
5,8,1977,2004,1.0,2.0,1.0,-1.0,3.0,198,1026,2.0,1.0,1026,1026,1977,-1.0,1,308,150000
6,7,1977,1977,0.0,2.0,1.0,-1.0,3.0,378,689,2.0,1.0,689,1392,1977,1.0,1,299,161750
5,6,1976,1976,0.0,2.0,0.0,1.0,-1.0,182,894,0.0,1.0,894,894,1976,-1.0,1,308,128200
5,6,1972,1972,0.0,2.0,0.0,1.0,2.0,480,876,0.0,1.0,876,876,1977,-1.0,2,484,127000
6,5,2003,2003,1.0,1.0,1.0,1.0,3.0,672,848,2.0,1.0,848,848,2003,1.0,2,420,143750
6,5,2004,2004,1.0,1.0,1.0,1.0,3.0,662,848,2.0,1.0,848,848,2004,0.0,2,420,143000
7,5,2004,2005,1.0,1.0,1.0,1.0,3.0,712,1473,2.0,1.0,1484,1484,2004,0.0,2,606,213000
7,5,2004,2004,1.0,1.0,1.0,1.0,3.0,24,1414,2.0,1.0,1414,1414,2004,0.0,2,494,185500
3,6,1945,2007,0.0,2.0,-3.0,-2.0,-3.0,0,0,0.0,-1.0,640,640,1945,-1.0,1,240,84900
5,6,1968,1968,0.0,2.0,1.0,2.0,2.0,1070,1196,0.0,1.0,1196,1196,1968,0.0,1,336,144000
6,6,1975,1975,0.0,2.0,0.0,1.0,2.0,528,1008,0.0,1.0,1096,1096,1975,-1.0,1,352,125200
4,5,1958,1958,0.0,2.0,0.0,-1.0,-2.0,0,960,2.0,1.0,960,960,1842,-2.0,0,0,90000
4,5,2003,2004,0.0,1.0,1.0,-1.0,-2.0,0,1121,2.0,1.0,1121,1121,2003,0.0,2,440,140000
6,4,1945,1950,0.0,2.0,0.0,-1.0,-1.0,94,735,0.0,1.0,798,1487,1949,-1.0,1,220,113000
4,4,1941,1950,0.0,3.0,1.0,-1.0,1.0,348,672,-1.0,-1.0,672,924,1941,-1.0,1,280,80000
5,6,1924,1999,0.0,3.0,0.0,0.0,0.0,133,1107,-1.0,-1.0,1296,1296,1979,-1.0,1,260,104000
3,3,1914,1950,0.0,3.0,0.0,-1.0,0.0,203,864,0.0,-1.0,864,864,1938,-1.0,1,200,58500
6,6,1939,1950,0.0,2.0,0.0,-1.0,0.0,238,856,0.0,1.0,856,856,1939,-1.0,2,399,126000
8,6,1989,1989,1.0,2.0,1.0,2.0,3.0,747,982,1.0,1.0,1034,1034,1989,1.0,2,598,185000
8,5,1989,1989,1.0,2.0,1.0,1.0,3.0,76,1191,1.0,1.0,1191,1191,1989,-1.0,2,531,162500
4,8,1922,2007,0.0,3.0,0.0,-1.0,1.0,735,796,1.0,1.0,796,1154,1922,-1.0,1,240,125500
2,5,1941,1950,0.0,3.0,0.0,-1.0,1.0,480,480,0.0,1.0,540,540,1951,-1.0,1,200,82000
6,5,1921,1975,0.0,3.0,0.0,0.0,1.0,308,629,-1.0,1.0,727,1107,1950,-1.0,1,625,110000
6,7,1977,1977,0.0,2.0,0.0,-1.0,2.0,679,1243,0.0,1.0,1285,1285,1977,-1.0,2,473,190000
6,5,1976,1976,0.0,2.0,0.0,1.0,3.0,539,1012,0.0,1.0,1034,1034,1976,-1.0,3,888,169900
7,5,2008,2008,1.0,1.0,1.0,-1.0,3.0,78,1336,2.0,1.0,1346,1346,2008,1.0,3,660,220000
5,5,2006,2007,0.0,1.0,1.0,-1.0,-2.0,0,384,1.0,1.0,744,1444,2007,1.0,2,400,174000
5,5,1965,1977,0.0,2.0,0.0,-1.0,0.0,42,1068,0.0,1.0,1264,1264,1965,-1.0,2,528,169000
5,5,2004,2005,0.0,1.0,2.0,1.0,-2.0,0,1430,2.0,1.0,1430,1430,2004,0.0,2,624,173500
5,5,1999,1999,0.0,1.0,1.0,-1.0,-2.0,0,1344,2.0,1.0,1344,1344,2001,-1.0,2,686,166500
4,5,1973,1973,0.0,2.0,0.0,-1.0,1.0,334,546,0.0,1.0,546,1092,1973,0.0,1,286,83500
5,6,1973,1973,0.0,2.0,1.0,2.0,3.0,915,945,2.0,1.0,945,945,1973,0.0,1,253,119500
5,3,1976,1976,0.0,2.0,1.0,-1.0,0.0,129,536,0.0,1.0,536,1112,1976,-1.0,1,336,85000
4,7,1970,1970,0.0,2.0,0.0,-1.0,3.0,176,546,2.0,1.0,546,1092,1842,-2.0,0,0,76000
4,6,1972,1972,0.0,2.0,1.0,1.0,-1.0,150,630,2.0,1.0,630,630,1842,-2.0,0,0,75500
4,4,1970,1970,0.0,2.0,0.0,-1.0,-2.0,0,546,2.0,1.0,546,1092,1842,-2.0,0,0,88250
4,6,1972,1972,0.0,2.0,0.0,-1.0,0.0,294,546,0.0,1.0,546,1092,1972,-1.0,1,286,85500
5,7,1971,2004,0.0,2.0,0.0,-1.0,2.0,469,864,2.0,1.0,874,874,1971,-1.0,1,352,130000
5,7,1962,1962,0.0,2.0,0.0,-1.0,0.0,593,1188,0.0,1.0,1188,1188,1962,-1.0,1,312,157900
5,7,1984,1984,0.0,2.0,1.0,0.0,0.0,207,833,0.0,1.0,833,833,1984,-1.0,2,495,149900
5,5,1991,1991,0.0,1.0,1.0,-1.0,0.0,458,624,1.0,1.0,624,1274,1993,-1.0,2,576,136000
5,5,1969,1969,0.0,2.0,0.0,1.0,1.0,476,864,0.0,1.0,864,1479,1969,1.0,1,275,161000
6,5,1956,1956,0.0,2.0,-1.0,-1.0,0.0,564,882,0.0,1.0,882,882,1956,-1.0,1,502,124500
6,5,1974,1974,0.0,2.0,0.0,-1.0,-1.0,844,1434,0.0,1.0,1434,1434,1974,0.0,2,528,157000
7,5,1995,1996,0.0,1.0,1.0,-1.0,-2.0,0,384,1.0,1.0,804,1474,1995,1.0,2,400,168500
8,5,1998,1998,0.0,1.0,1.0,1.0,3.0,341,1418,2.0,1.0,1478,1478,1998,1.0,2,495,240000
7,5,1998,1998,1.0,1.0,1.0,-1.0,3.0,189,384,1.0,1.0,751,1382,1998,1.0,2,396,177500
6,8,1993,1993,2.0,1.0,1.0,-1.0,2.0,310,680,1.0,1.0,680,1470,1993,1.0,2,420,185000
6,5,1993,1993,0.0,1.0,1.0,-1.0,-2.0,0,1181,2.0,1.0,1190,1190,1993,-1.0,2,430,166000
6,5,1994,1995,0.0,1.0,1.0,-1.0,-2.0,0,702,1.0,1.0,702,1481,1994,1.0,2,343,174000
6,6,1992,1992,0.0,1.0,1.0,-1.0,3.0,560,1158,1.0,1.0,1167,1167,1992,0.0,2,400,173000
7,5,1990,1990,0.0,1.0,1.0,-1.0,-2.0,0,1424,2.0,1.0,1442,1442,1990,0.0,2,500,180500
7,5,1980,1980,0.0,2.0,1.0,1.0,3.0,1036,1372,0.0,1.0,1472,1472,1980,-1.0,2,588,187500
6,6,1974,1974,0.0,2.0,0.0,-1.0,2.0,888,1116,2.0,1.0,1116,1116,1974,0.0,2,528,167900
7,5,1975,1975,0.0,2.0,0.0,-1.0,2.0,636,1176,-1.0,1.0,1193,1193,1975,-1.0,2,506,158000
6,5,1974,1974,0.0,2.0,1.0,-1.0,-2.0,0,1064,0.0,1.0,1350,1350,1974,0.0,2,478,165000
5,6,1970,1970,0.0,2.0,0.0,-1.0,1.0,828,1002,0.0,1.0,1002,1002,1973,-1.0,2,902,148500
6,8,1969,2005,0.0,2.0,0.0,-1.0,3.0,439,1026,1.0,1.0,1026,1026,1969,0.0,2,440,156000
5,5,1970,1970,0.0,2.0,0.0,-1.0,-2.0,0,1180,0.0,1.0,1180,1180,1970,0.0,2,477,128000
5,7,1971,1971,0.0,2.0,1.0,-1.0,2.0,500,1043,2.0,1.0,1050,1050,1971,-1.0,1,336,143000
4,6,1970,1970,0.0,2.0,0.0,-1.0,2.0,375,864,0.0,1.0,864,864,1989,-1.0,2,660,120500
4,7,1970,1970,0.0,2.0,0.0,-1.0,2.0,191,864,2.0,1.0,864,864,1994,-1.0,2,463,124500
4,7,1971,2006,0.0,2.0,0.0,-1.0,2.0,240,864,1.0,1.0,864,864,1986,-1.0,2,576,130000
6,5,1973,1973,0.0,2.0,0.0,-1.0,1.0,254,483,0.0,1.0,483,987,1973,-1.0,1,264,111000
5,6,1970,1970,0.0,2.0,0.0,-1.0,-1.0,765,765,0.0,1.0,765,1365,1970,-1.0,2,440,125000
6,6,1972,1972,0.0,2.0,0.0,-1.0,0.0,110,483,0.0,1.0,483,987,1972,-1.0,1,288,97000
6,8,1972,2007,0.0,2.0,0.0,-1.0,2.0,162,483,1.0,1.0,483,987,1972,-1.0,1,264,118000
5,7,1972,1972,0.0,2.0,0.0,-1.0,2.0,231,630,0.0,1.0,630,1302,1972,-1.0,1,264,119500
6,6,1976,1976,0.0,2.0,1.0,-1.0,-1.0,958,958,0.0,1.0,958,958,1976,0.0,2,440,143750
6,6,1976,1976,0.0,2.0,1.0,-1.0,2.0,566,855,0.0,1.0,855,1456,1976,-1.0,2,440,148500
7,5,1975,1975,0.0,2.0,1.0,-1.0,2.0,435,1057,0.0,1.0,1055,1055,1975,0.0,2,440,123000
6,5,1974,1974,0.0,2.0,0.0,-1.0,2.0,257,855,0.0,1.0,855,1322,1974,-1.0,2,440,147000
6,5,1977,1977,0.0,2.0,1.0,-1.0,2.0,389,855,0.0,1.0,855,1456,1977,-1.0,2,440,137900
6,6,1978,1978,0.0,2.0,0.0,-1.0,2.0,311,855,0.0,1.0,855,1441,1978,-1.0,2,440,148500
6,5,1978,1978,1.0,2.0,1.0,-1.0,2.0,279,855,0.0,1.0,855,1456,1978,1.0,2,440,138000
7,6,1976,1976,0.0,2.0,0.0,-1.0,2.0,536,836,0.0,1.0,836,836,1976,-1.0,1,345,128500
5,5,1967,1967,0.0,2.0,0.0,-1.0,1.0,432,892,0.0,1.0,892,892,1967,0.0,1,288,100000
5,7,1966,2004,1.0,1.0,0.0,-1.0,1.0,644,864,2.0,1.0,1120,1120,1966,0.0,2,656,148800
6,5,2005,2005,1.0,1.0,1.0,1.0,2.0,836,1358,2.0,1.0,1358,1358,2005,0.0,2,484,213000
6,5,2005,2005,1.0,1.0,1.0,1.0,2.0,900,1306,2.0,1.0,1306,1306,2005,0.0,2,624,196000
6,5,2005,2005,1.0,1.0,1.0,1.0,3.0,881,1306,2.0,1.0,1306,1306,2005,0.0,2,624,184500
7,5,2007,2008,1.0,1.0,1.0,-1.0,3.0,876,1350,2.0,1.0,1358,1358,2008,0.0,2,484,212500
7,5,2007,2008,1.0,1.0,1.0,-1.0,3.0,904,1314,2.0,1.0,1314,1314,2008,0.0,2,626,230000
9,5,2008,2008,2.0,1.0,2.0,-1.0,-2.0,0,1451,2.0,1.0,1456,1456,2008,0.0,2,539,248500
